n,f0,f0I,f0II,f1,f1I,f1II,f1III,f2,f2I,f2II
132721,46,30,16,1257,383,283,591,959,711,248
471241,52,35,17,3036,854,712,1470,2634,1972,662
589681,67,47,20,3031,874,731,1426,2652,1992,660
1202881,88,67,21,2175,686,510,979,1716,1301,415
2405881,95,65,30,1734,617,386,731,1182,909,273
5410441,104,74,30,3434,984,812,1638,2778,2070,708
8628481,120,82,38,4496,1287,1069,2140,3849,2891,958
139297,132,94,38,613,246,146,221,280,220,60
520369,156,107,49,876,311,192,373,508,378,130
904297,185,121,64,944,357,194,393,465,359,106
1703089,216,160,56,880,352,207,321,405,310,95
2831089,252,173,79,1289,480,278,531,771,597,174
7702729,290,213,77,1461,509,306,646,895,682,213
9644641,316,224,92,2169,696,451,1022,1491,1127,364
