p,ford,fI,fII
1000000009,3318,389,164
1000000801,3720,447,173
1000002361,3456,419,157
1000002649,3126,364,157
1000004329,3108,328,190
1000004569,3696,450,166
1000005001,3522,434,153
1000007089,3696,415,201
1000007521,4428,515,223
1000007929,5364,634,260
1000009081,6840,763,377
1000009441,3450,428,147
1000009609,3438,413,160
1000010281,3840,432,208
1000010449,3168,360,168
1000010761,4308,518,200
1000011289,4266,462,249
1000011601,3702,426,191
1000011769,2952,344,148
1000012609,3402,404,163
1000014121,4140,471,219
1000014241,3294,395,154
1000016089,4080,495,185
1000016929,3360,397,163
1000017169,4806,554,247
1000017769,4608,581,187
1000017841,3738,428,195
1000018321,3162,358,169
1000018441,3942,465,192
1000019161,3780,462,168
1000020001,3750,456,169
1000020361,3696,432,184
1000020961,3492,406,176
1000021369,4368,509,219
1000021801,3738,432,191
1000021849,3498,391,192
1000021969,3510,429,156
1000022809,4374,499,230
1000023361,3000,362,138
1000023649,3318,380,173
1000024489,3630,417,188
1000024561,4098,462,221
1000025401,3570,431,164
1000026889,3894,460,189
1000027849,4170,483,212
1000028521,4494,532,217
1000029601,3768,442,186
1000030081,3822,457,180
1000030441,3558,417,176
1000032049,3702,439,178
1000032961,4218,494,209
1000033561,4518,531,222
1000035409,3216,384,152
1000036321,3240,403,137
1000036969,3384,404,160
1000037329,4122,478,209
1000038601,3204,368,166
1000038841,3642,424,183
1000039009,4530,533,222
1000039681,4104,521,163
1000040449,3084,345,169
1000041169,3540,424,166
1000042129,3030,348,157
1000042801,4104,469,215
1000043041,4500,509,241
1000044889,3774,440,189
1000045201,4008,466,202
1000045729,4518,569,184
1000046161,3108,366,152
1000046569,4062,458,219
1000047409,5166,607,254
1000048009,3444,409,165
1000048249,4524,534,220
1000048849,3600,401,199
1000049569,3480,383,197
1000049929,3444,403,171
1000051609,4344,522,202
1000053121,3510,406,179
1000053889,4404,487,247
1000054129,3786,453,178
1000054441,4146,484,207
1000055281,2754,321,138
1000055449,4020,473,197
1000056481,3864,460,184
1000056961,3570,421,174
1000057801,3834,440,199
1000058329,4572,517,245
1000058641,3018,369,134
1000059649,4320,499,221
1000060441,3084,356,158
1000060849,4188,480,218
1000061281,3402,421,146
1000062001,3270,387,158
1000064641,3354,394,165
1000065721,4386,526,205
1000065889,3060,371,139
1000066489,3960,453,207
1000067569,4860,580,230
1000067881,3990,479,186
1000068241,5052,587,255
1000068841,3672,419,193
1000069249,3234,370,169
1000072081,4194,490,209
1000072921,3426,390,181
1000073089,3582,409,188
1000073761,3720,446,174
1000073929,3600,433,167
1000074289,4476,526,220
1000075561,3240,407,133
1000076809,2982,364,133
1000077409,3792,447,185
1000079089,3960,462,198
1000079161,2988,358,140
1000080769,3666,424,187
1000080841,4458,507,236
1000081609,3900,460,190
1000083001,4374,521,208
1000083169,4392,521,211
1000083961,3990,483,182
1000084201,3096,372,144
1000084369,4176,472,224
1000085041,3648,439,169
1000085209,4194,496,203
1000085689,3564,395,199
1000088041,3786,443,188
1000088209,3864,446,198
1000090009,3684,422,192
1000090849,3672,423,189
1000091689,3090,335,180
1000091761,3816,428,208
1000092241,3504,376,208
1000092529,3912,496,156
1000093249,3162,372,155
1000094281,3564,402,192
1000094449,3774,456,173
1000094881,4446,494,247
1000095121,3666,453,158
1000096441,4146,503,188
1000096609,4122,522,165
1000096729,3576,414,182
1000097401,3294,398,151
1000098241,3786,435,196
1000099081,4254,511,198
1000100161,3510,408,177
1000100809,4458,484,259
1000101169,3492,403,179
1000101481,3450,394,181
1000101769,4128,524,164
1000102849,3564,415,179
1000103329,3102,349,168
1000104289,4638,523,250
1000104961,3960,465,195
1000105129,2886,324,157
1000105969,3702,416,201
1000108489,3954,439,220
1000108729,4674,538,241
1000109041,3480,392,188
1000110169,3480,391,189
1000110721,3594,420,179
1000111561,3438,409,164
1000112521,3474,406,173
1000112569,3534,403,186
1000112689,2730,309,146
1000112929,4290,510,205
1000113409,2922,322,165
1000113529,4068,510,168
1000114201,3450,404,171
1000115041,3738,421,202
1000115449,3348,415,143
1000115761,4770,560,235
1000115929,4152,486,206
1000116769,3852,446,196
1000117561,3306,368,183
1000117609,3996,479,187
1000117969,3774,467,162
1000118401,3576,418,178
1000118569,4332,502,220
1000118641,3240,372,168
1000119121,3096,356,160
1000119409,3930,480,175
1000120801,2922,345,142
1000121641,4206,484,217
1000121929,3330,388,167
1000122769,3510,395,190
1000123321,3960,470,190
1000124329,3462,400,177
1000125121,3792,434,198
1000125289,3702,427,190
1000125961,4332,483,239
1000126969,3528,417,171
1000127041,2550,277,148
1000130041,2658,298,145
1000130881,3162,389,138
1000131049,3078,378,135
1000131169,4572,547,215
1000132561,2766,300,161
1000132921,4224,482,222
1000133089,4452,532,210
1000133401,3108,373,145
1000133521,3918,434,219
1000133929,3732,432,190
1000134241,4068,475,203
1000134409,4392,516,216
1000136881,3630,406,199
1000137601,3150,370,155
1000137889,2358,259,134
1000138129,3114,368,151
1000138561,4926,561,260
1000138729,3912,464,188
1000139449,4122,448,239
1000140409,3288,398,150
1000140649,3372,404,158
1000141321,2994,369,130
1000141921,2790,319,146
1000142089,3594,420,179
1000142329,3954,453,206
1000142761,3384,392,172
1000143481,2856,335,141
1000143601,3444,396,178
1000143841,3678,433,180
1000146289,4242,471,236
1000147129,3276,370,176
1000148041,3726,444,177
1000148209,4164,517,177
1000148521,3162,380,147
1000149481,3330,378,177
1000149529,3168,357,171
1000149889,5706,658,293
1000150369,3546,415,176
1000151161,3318,393,160
1000151401,4494,536,213
1000152409,3522,400,187
1000153249,3642,401,206
